id_,adress,price,district,num_rum,area,num_floor1,num_floor2,add_inform,metro,GK
1,"Науки пр-т, 80а/73",422,Голосеевский,1,50,8,23,"
Дополнительно : 
Аренда современной квартиры студии по проспекту науки 80а/73,  современная мебель,  техника,  красивый ремонт
-дом с консьержем,  рядом удобный выезд на Столичное шоссе,  Обухов,  Днепровское шоссе,  Конча заспу

просмотры по договоренности.
  ",3,0
2,"Машинобудiвна , 21",422,Соломенский,1,46,10,16,"
Дополнительно : 
Предлагается в аренду уютная просторная 1 комнатная квартира (ранее не сдавалась) 
Соломенский р-н.,  метро Шулявка,  ул. Гонгадзе (Машиностроительная) д. 21,  10/16  дома,  46, 3/17.4/14, 5,  современный качественный ремонт в светлых тонах,  большой санузел(4, 7кв.м) совмещ.,  ванная полноценная,  большая лоджия застеклена,  утеплена,  используется как кабинет. На полу плитка и паркетная доска. Количество спальных мест 3 (диван и двуспальная кровать) Шкафы,  большой комод,  стол и кресла. Техника: телевизор,  холодильник,  стиральная машина,  варочная электрическая поверхность на 4 конфорки,  духовой шкаф,  посудомоечная машина,  микроволновая печь,  мультиварка,  принтер  кондиционер. До метро  15 минут пешим ходом. Рядом школа,  детсад,  три университета. В пешей доступности несколько ТРЦ,  Мармелад,  Магелан Цена  12000 грн./месяц + коммунальные. Комиссия: 50%
  ",3,0
3,"Автозаводська , 93",281,Оболонский,1,38,3,9,"
Дополнительно : 
Оболонский район,  Минский массив,  ул. Автозаводская,  3/9 эт. дома,  однокомнатная,  38/18/9 м2,  ремонт,  мебель,  холодильник,  стиралка,  электробойлер,  с/у разд.,  каф.,  балк/заст.,  транспортная развязка на Оболонь,  Подол и Лукьяновка,  8000 грн/мес. Риэлтор. Не сотрудничаю. Комиссия: 50%
  ",3,0
4,"улица Регенераторная, 4",551,Днепровский,1,40,5,9,"
Дополнительно : 
Аренда прекрасной квартиры в ЖК Комфорт Таун,  Регенераторная 4 (Корпус 12)

раздельная планировка:
Спальня + Кухня-студия

Подойдёт для проживания как одного человека так и пары /семьи без животных.

Двуспальная кровать,  шкаф,  тумбочки прикроватные и кондиционер - в спальной комнате.

Раскладной диван,  мебельная стенка,  кухонный гарнитур + вся необходимая бытовая техника.

Подогрев полов в ванной комнате,  коридоре и на кухне в зимний период заменяет централизованное отопление при необходимости.

В коридоре встроенный шкаф очень вместительный,  сейф.

Квартира свободна! Жду вашего звонка 0681199550 Александр Комиссия: 50% Дополнительные контакты: 0631199440.
  ",3,1
5,"Володимирська вул., 49а",2000,Шевченковский,3,155,8,12,"
Дополнительно : 
Владимирская,  49а. Сдается презентабельная 3к квартира 155м2: большая гостиная и кухня-студио,  2 отдельные спальни,  2 санузла: один с ванной,  другой- с душевой кабиной. Квартира оборудована всем необходимым для комфортной жизни. В доме охрана,  видеонаблюдение. Есть подземный паркинг.5 минуты метро Золотые Ворота и 7 минут пешком до м.Театральная. Без комиссии. 2000у.е
  ",2,0
6,Чоколiвський бул.,317,Соломенский,1,36,2,5,"
Дополнительно : 
Караваевы Дачи. Чоколовский бул.,  31,  хрущевка,  2/5 кирп.,  36/18/7,  Современный ремонт,  Новая мебель и бытовая техника,  Кондиционер, Бойлер,  встроенная кухня,  холодильник,  газовая поверхность,  диван,  новая кровать с ортопедическим матрасом,  шкаф,  комод,  стиральная-автомат. Балкон застеклен,  светлая,  просторная,  аккуратная и очень теплая квартира. Отличная транспортная развязка. 
Квартира уже свободна. ПОКАЗЫВАЕМ,  Звоните !
9 000 грн.+ коммунальные,  (67) 235 49 31,  (66) 473 31 53 Дополнительные контакты: 0664733153.
  ",3,0
7,"улица Почайнинская, 23",698,Подольский,2,89,2,3,"
Дополнительно : 
Сдам 2х комнатную квартиру ул Почайнинская 23.
82, 4общ жилая 78. Кухня- столовая 20 м большой сан узел совм. Эт 2/5 h 3, 8. Дореволюционный дом кирпич ж/б .Паркет ясень,  меблирована,  газ колонка,  быт. Техника,  посудомоечная машина , стиральная автомат,  бесплатная парковка,  рядом спортивный зал,  Андреевская церковь,  метро , Контрактова площадь 585м.развитая инфраструктура Падола,  всё рядом,  магазины,  Кафе,  базар. Комиссия: 50%
  ",3,0
8,"Межовий пров., 58",193,Подольский,1,40,1,3,"
Дополнительно : 
Квартира на Виноградаре для парня
пер.Межевой,  58,  Виноградарь,  
метро Минская,  Т.Шевченко,  Лукьяновская,  Дорогожичи,  Нивки - 20 минут транспортом. 
Часть современного дома постройки 2010 года. Свой вход. Общий двор с исключительно дружелюбными хозяевами. Машину можно парковать перед окнами. Видеонаблюдение.
Дом утеплен,  стеклопакеты,  санузел совмещен в новом кафеле,  
Общая площадь - 40 кв.м.,  комната  13 кв.м.,  кухня  10 кв.м. 
Новая мебель на кухне,  шкаф-купе,  
Вся бытовая техника (холодильник,  новая стиральная машина-автомат,  телевизор,  бойлер). 
Счетчик на электроэнергию,  центральное водоснабжение и канализация. 
Развитая инфраструктура (напротив сосновый лес с хорошо организованной зоной отдыха,  озеро в пешей доступности,  рынок,  супермаркеты, ).
Конечная транспорта в 10 минутах ходьбы.
Арендная плата - 5500 грн.( + 1000 грн. коммунальных не зависимо от времени года).
Сдается на длительный срок ТОЛЬКО ДЛЯ 1-ГО парня. 
Тел. 0951712195.
Риелтор. 
Звоните. Это достойное предложение для вашего комфортного проживания! Комиссия: 50%
  ",3,0
9,"Нижнiй Вал , 11",800,Подольский,1,37,5,12,"
Дополнительно : 
Таких квартир осталось мало! Элитный клубный дом Зелёный Замок,  ул.Мирная 2/1 (Олеговская,  2)

Только что закончен ремонт. Никто не жил. Панорамные окна. Нестандартная планировка.

Квартира оборудована всем необходимым: кондиционер,  посудомоечная и стиральная машина,  холодильник,  СВЧ,  бойлер,  плазма и скоростной интернет.

Доступ исключительно по карточкам,  видеонаблюдение,  охрана,  молодое успешное окружение! Уже этим летом на крыше дома открывается бассейн с баром.

Из дополнительных приятных бонусов: Вы будете первым арендатором,  и что бы не платить комиссию  звоните по указанному номеру в объявлении! Сайт объекта - zelenyizamok com
  ",2,0
10,"Пушиної Феодори , 19",528,Святошинский,2,63,3,25,"
Дополнительно : 
Аренда 2-ух комнатная квартира .
Просторная 63 кв.м. , с ремонтом , комнаты раздельные .
Полностью укомплектована мебелью и бытовой техникой.
Достаточно пространства для хранения личных вещей.
2 спальных места.
Дому 15 лет.К метро Житомирская 150 м.
Свободна.
  ",1,0
